wielkosc spoiny,pachwina,1/2V,V/Y,J,U,K,X
2,0.05,,,,,,
3,0.08,,,,,,
4,0.13,0.08,0.08,,,,
5,0.22,0.11,0.12,,,,
6,0.3,0.15,0.17,,,,
7,0.42,0.2,0.22,,,,
8,0.53,0.25,0.28,,,,
10,0.85,0.38,0.42,,,,
12,1.21,0.54,0.60,,,0.37,0.38
14,1.65,0.72,0.8,,,0.47,0.5
16,2.15,0.9,1,,,0.58,0.62
18,2.73,1.17,1.3,,,0.72,0.77
20,3.36,1.45,1.61,,,0.87,0.93
22,3.6,1.73,1.93,,,1.03,1.1
24,4,2.07,2.3,,,1.2,1.3
26,4.3,2.43,2.7,,,1.38,1.5
28,4.5,2.82,3.13,,,1.58,1.72
30,4.8,3.22,3.58,,,1.8,1.95
32,,3.66,4.06,,,2.03,2.20
36,,4.43,4.92,,,2.53,2.75
40,,5.45,6.05,5.50,8.16,3.08,3.35
44,,6.59,7.32,6.44,9.52,3.68,4.02
48,,7.83,8.7,7.43,10.86,4.33,4.73
52,,9.18,10.2,8.54,12.24,5.05,5.52
56,,10.65,11.83,10.01,13.6,5.82,6.37
60,,12.22,13.58,11.24,14.26,6.63,7.27
65,,,,12.9,15.8,7.92,8.83
70,,,,14.46,17.73,8.92,9.8
80,,,,18.43,22.65,11.55,12.68
100,,,,27.77,33.48,17.8,19.62
120,,,,,,25.42,28.03
140,,,,,,34.37,37.95
160,,,,,,44.67,49.37
180,,,,,,56.33,62.28
